,HOMETEAM,AWAYTEAM,FTHG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV,HOMETEAM_n,AWAYTEAM_n,HTR_n
138,Leicester,Everton,2,H,0,1,A,4,4,0,1,505250000,480700000,19430000,19230000,26.7,27.3,1.8,2.0,1.61,4.0,5.25,G Scott,8,7,0
139,Man United,Aston Villa,2,D,1,1,D,9,9,4,1,744250000,261900000,29770000,9700000,25.8,27.0,1.72,2.1,1.45,4.5,7.0,C Pawson,11,1,1
140,Crystal Palace,Bournemouth,1,H,0,0,D,6,9,3,3,232800000,343750000,9310000,11460000,28.8,26.0,2.0,1.8,2.2,3.4,3.25,A Taylor,6,2,1
141,Burnley,Man City,1,A,0,1,A,3,6,1,1,192750000,1300000000,8030000,52190000,29.1,27.4,1.44,2.75,11.0,7.0,1.22,J Moss,4,10,0
142,Chelsea,Aston Villa,2,H,1,1,D,9,5,2,1,844250000,261900000,32470000,9700000,26.3,27.0,1.4,3.0,1.28,5.75,10.0,C Kavanagh,5,1,1
143,Leicester,Watford,2,H,0,0,D,7,2,3,2,505250000,234000000,19430000,7550000,26.7,27.6,1.61,2.3,1.33,5.5,8.0,C Pawson,8,17,1
144,Man United,Tottenham,2,H,1,1,D,4,3,0,1,744250000,977000000,29770000,36190000,25.8,26.4,1.8,2.0,2.75,3.4,2.55,P Tierney,11,16,1
145,Southampton,Norwich,2,H,2,0,H,6,1,1,1,227000000,152350000,9870000,6350000,25.9,27.6,1.57,2.37,1.72,4.0,4.2,K Friend,15,13,2
146,Wolves,West Ham,2,H,1,0,H,5,4,1,2,330800000,338750000,12720000,14110000,25.4,28.7,1.9,1.9,1.75,3.7,4.75,A Marriner,19,18,2
147,Liverpool,Everton,5,H,4,2,H,5,6,1,2,1190000000,480700000,46660000,19230000,27.9,27.3,1.57,2.37,1.36,5.0,8.5,M Dean,9,7,2
148,Sheffield United,Newcastle,0,A,0,1,A,8,1,2,0,119200000,293830000,4260000,9180000,28.3,27.3,2.3,1.61,1.83,3.4,4.6,S Attwell,14,12,0
149,Arsenal,Brighton,1,A,0,1,A,9,9,3,1,682750000,214750000,27310000,8260000,25.1,27.8,1.53,2.5,1.57,4.33,5.5,G Scott,0,3,0
150,Everton,Chelsea,3,H,1,0,H,1,5,3,0,480700000,844250000,19230000,32470000,27.3,26.3,1.72,2.1,3.5,3.75,2.0,C Pawson,7,5,2
151,Bournemouth,Liverpool,0,A,0,2,A,1,3,0,1,343750000,1190000000,11460000,46660000,26.0,27.9,1.5,2.62,7.0,5.25,1.4,C Kavanagh,2,9,0
152,Tottenham,Burnley,5,H,3,0,H,1,1,1,1,977000000,192750000,36190000,8030000,26.4,29.1,1.57,2.37,1.4,4.75,8.0,K Friend,16,4,2
153,Watford,Crystal Palace,0,D,0,0,D,6,2,4,2,234000000,232800000,7550000,9310000,27.6,28.8,2.0,1.8,2.37,3.3,3.1,M Atkinson,17,6,1
154,Man City,Man United,1,A,0,2,A,16,3,3,2,1300000000,744250000,52190000,29770000,27.4,25.8,1.5,2.62,1.3,5.5,10.0,A Taylor,10,11,0
155,Aston Villa,Leicester,1,A,1,2,A,8,5,6,2,261900000,505250000,9700000,19430000,27.0,26.7,1.61,2.3,4.33,3.8,1.8,M Oliver,1,8,0
156,Newcastle,Southampton,2,H,0,0,D,3,12,1,3,293830000,227000000,9180000,9870000,27.3,25.9,2.1,1.72,2.5,3.2,2.9,D Coote,12,15,1
157,Norwich,Sheffield United,1,A,1,0,H,9,1,0,4,152350000,119200000,6350000,4260000,27.6,28.3,1.8,2.0,2.9,3.5,2.37,S Hooper,13,14,2
158,Brighton,Wolves,2,D,2,2,D,3,4,3,0,214750000,330800000,8260000,12720000,27.8,25.4,2.3,1.61,2.62,3.1,2.87,J Moss,3,19,1
159,West Ham,Arsenal,1,A,1,0,H,4,3,2,0,338750000,682750000,14110000,27310000,28.7,25.1,1.44,2.75,3.3,4.0,2.0,M Dean,18,0,2
160,Liverpool,Watford,2,H,1,0,H,6,3,2,1,1190000000,234000000,46660000,7550000,27.9,27.6,1.4,3.0,1.16,7.5,17.0,A Marriner,9,17,2
161,Burnley,Newcastle,1,H,0,0,D,4,3,0,2,192750000,293830000,8030000,9180000,29.1,27.3,2.1,1.72,1.95,3.4,4.0,T Robinson,4,12,1
162,Chelsea,Bournemouth,0,A,0,0,D,9,4,1,2,844250000,343750000,32470000,11460000,26.3,26.0,1.4,3.0,1.25,6.0,12.0,G Scott,5,2,1
163,Leicester,Norwich,1,D,1,1,D,12,4,0,4,505250000,152350000,19430000,6350000,26.7,27.6,1.44,2.75,1.22,6.5,13.0,A Madley,8,13,1
164,Sheffield United,Aston Villa,2,H,0,0,D,3,2,2,2,119200000,261900000,4260000,9700000,28.3,27.0,1.8,2.0,1.85,3.75,4.2,P Bankes,14,1,1
165,Southampton,West Ham,0,A,0,1,A,5,8,1,3,227000000,338750000,9870000,14110000,25.9,28.7,1.61,2.3,1.9,3.8,3.8,M Atkinson,15,18,0
166,Man United,Everton,1,D,0,1,A,6,5,1,2,744250000,480700000,29770000,19230000,25.8,27.3,1.8,2.0,1.8,3.7,4.5,M Oliver,11,7,0
167,Wolves,Tottenham,1,A,0,1,A,11,2,4,4,330800000,977000000,12720000,36190000,25.4,26.4,1.9,1.9,3.25,3.4,2.25,S Attwell,19,16,0
168,Arsenal,Man City,0,A,0,3,A,3,3,1,4,682750000,1300000000,27310000,52190000,25.1,27.4,1.33,3.4,6.0,5.25,1.44,P Tierney,0,10,0
169,Crystal Palace,Brighton,1,D,0,0,D,3,7,1,1,232800000,214750000,9310000,8260000,28.8,27.8,2.2,1.66,2.55,3.25,2.87,C Pawson,6,3,1
170,Everton,Arsenal,0,D,0,0,D,5,4,2,3,480700000,682750000,19230000,27310000,27.3,25.1,1.57,2.37,2.3,3.8,2.87,K Friend,7,0,1
171,Aston Villa,Southampton,1,A,0,2,A,7,5,2,1,261900000,227000000,9700000,9870000,27.0,25.9,1.61,2.3,2.4,3.6,2.8,C Pawson,1,15,0
172,Bournemouth,Burnley,0,A,0,0,D,4,5,2,4,343750000,192750000,11460000,8030000,26.0,29.1,1.9,1.9,2.4,3.4,2.9,M Atkinson,2,4,1
173,Brighton,Sheffield United,0,A,0,1,A,4,3,1,3,214750000,119200000,8260000,4260000,27.8,28.3,2.1,1.72,2.2,3.25,3.5,R Jones,3,14,0
174,Newcastle,Crystal Palace,1,H,0,0,D,4,5,2,0,293830000,232800000,9180000,9310000,27.3,28.8,2.5,1.53,2.37,3.1,3.25,S Hooper,12,6,1
175,Norwich,Wolves,1,A,1,0,H,3,11,2,4,152350000,330800000,6350000,12720000,27.6,25.4,1.8,2.0,3.75,3.8,1.9,P Bankes,13,19,2
176,Man City,Leicester,3,H,2,1,H,6,1,2,2,1300000000,505250000,52190000,19430000,27.4,26.7,1.4,3.0,1.36,5.25,7.5,M Dean,10,8,2
177,Watford,Man United,2,H,0,0,D,3,5,3,1,234000000,744250000,7550000,29770000,27.6,25.8,1.9,1.9,4.33,4.0,1.75,L Mason,17,11,1
178,Tottenham,Chelsea,0,A,0,2,A,3,5,4,3,977000000,844250000,36190000,32470000,26.4,26.3,1.57,2.37,2.37,3.75,2.75,A Taylor,16,5,0
179,Tottenham,Brighton,2,H,0,1,A,9,2,4,2,977000000,214750000,36190000,8260000,26.4,27.8,1.61,2.3,1.53,4.33,6.0,G Scott,16,3,0
180,Aston Villa,Norwich,1,H,0,0,D,5,8,2,3,261900000,152350000,9700000,6350000,27.0,27.6,1.53,2.5,2.1,3.75,3.3,C Kavanagh,1,13,1
181,Bournemouth,Arsenal,1,D,1,0,H,8,3,4,4,343750000,682750000,11460000,27310000,26.0,25.1,1.57,2.37,3.5,3.9,1.95,S Attwell,2,0,2
182,Chelsea,Southampton,0,A,0,1,A,8,1,3,2,844250000,227000000,32470000,9870000,26.3,25.9,1.5,2.62,1.33,5.25,9.0,J Moss,5,15,0
183,Crystal Palace,West Ham,2,H,0,0,D,7,6,0,2,232800000,338750000,9310000,14110000,28.8,28.7,1.9,1.9,2.3,3.4,3.1,A Marriner,6,18,1
184,Everton,Burnley,1,H,0,0,D,10,2,0,0,480700000,192750000,19230000,8030000,27.3,29.1,1.9,1.9,1.7,3.75,5.0,A Taylor,7,4,1
185,Sheffield United,Watford,1,D,1,1,D,9,1,1,3,119200000,234000000,4260000,7550000,28.3,27.6,2.1,1.72,1.83,3.6,4.33,D Coote,14,17,1
186,Man United,Newcastle,4,H,3,1,H,5,0,2,2,744250000,293830000,29770000,9180000,25.8,27.3,1.72,2.1,1.33,5.25,9.0,K Friend,11,12,2
187,Leicester,Liverpool,0,A,0,1,A,2,8,1,1,505250000,1190000000,19430000,46660000,26.7,27.9,1.66,2.2,3.4,3.75,2.05,M Oliver,8,9,0
188,Wolves,Man City,3,H,0,1,A,3,1,0,1,330800000,1300000000,12720000,52190000,25.4,27.4,1.57,2.37,8.5,5.0,1.36,M Atkinson,19,10,0
189,Brighton,Bournemouth,2,H,1,0,H,9,2,0,2,214750000,343750000,8260000,11460000,27.8,26.0,1.9,1.9,1.75,3.9,4.33,P Tierney,3,2,2
190,Newcastle,Everton,1,A,0,1,A,5,8,2,2,293830000,480700000,9180000,19230000,27.3,27.3,2.1,1.72,3.6,3.4,2.05,L Mason,12,7,0
191,Southampton,Crystal Palace,1,D,0,0,D,12,4,1,2,227000000,232800000,9870000,9310000,25.9,28.8,2.0,1.8,1.95,3.6,3.8,A Madley,15,6,1
192,Watford,Aston Villa,3,H,1,0,H,6,3,3,1,234000000,261900000,7550000,9700000,27.6,27.0,1.72,2.1,1.95,3.8,3.6,S Hooper,17,1,2
193,Norwich,Tottenham,2,D,1,0,H,4,6,3,3,152350000,977000000,6350000,36190000,27.6,26.4,1.57,2.37,5.0,4.0,1.66,K Friend,13,16,2
194,West Ham,Leicester,1,A,1,1,D,5,5,4,1,338750000,505250000,14110000,19430000,28.7,26.7,1.61,2.3,4.0,3.9,1.83,D Coote,18,8,1
195,Burnley,Man United,0,A,0,1,A,5,4,4,3,192750000,744250000,8030000,29770000,29.1,25.8,1.9,1.9,4.33,3.75,1.8,M Dean,4,11,0
196,Arsenal,Chelsea,1,A,1,0,H,2,3,5,4,682750000,844250000,27310000,32470000,25.1,26.3,1.53,2.5,2.87,3.75,2.3,C Pawson,0,5,2
197,Liverpool,Wolves,1,H,1,0,H,5,6,1,0,1190000000,330800000,46660000,12720000,27.9,25.4,1.57,2.37,1.25,5.75,12.0,A Taylor,9,19,2
198,Man City,Sheffield United,2,H,0,0,D,8,5,1,1,1300000000,119200000,52190000,4260000,27.4,28.3,1.4,3.0,1.16,7.5,16.0,C Kavanagh,10,14,1
199,Brighton,Chelsea,1,D,0,1,A,5,3,2,3,214750000,844250000,8260000,32470000,27.8,26.3,1.72,2.1,3.6,3.6,1.95,S Attwell,3,5,0
200,Burnley,Aston Villa,1,A,0,2,A,8,4,1,1,192750000,261900000,8030000,9700000,29.1,27.0,1.9,1.9,1.75,3.8,4.33,M Oliver,4,1,0
201,Newcastle,Leicester,0,A,0,2,A,4,5,1,1,293830000,505250000,9180000,19430000,27.3,26.7,1.9,1.9,5.0,3.8,1.66,M Atkinson,12,8,0
202,Southampton,Tottenham,1,H,1,0,H,6,9,3,4,227000000,977000000,9870000,36190000,25.9,26.4,1.66,2.2,3.3,3.5,2.1,M Dean,15,16,2
203,Watford,Wolves,2,H,1,0,H,4,7,3,1,234000000,330800000,7550000,12720000,27.6,25.4,2.0,1.8,3.0,3.4,2.3,A Madley,17,19,2
204,Man City,Everton,2,H,0,0,D,3,6,0,4,1300000000,480700000,52190000,19230000,27.4,27.3,1.36,3.2,1.25,6.5,10.0,A Marriner,10,7,1
205,Norwich,Crystal Palace,1,D,1,0,H,2,5,5,0,152350000,232800000,6350000,9310000,27.6,28.8,1.9,1.9,2.5,3.4,2.75,J Moss,13,6,2
206,West Ham,Bournemouth,4,H,3,0,H,9,2,1,2,338750000,343750000,14110000,11460000,28.7,26.0,1.66,2.2,1.9,3.75,3.8,G Scott,18,2,2
207,Arsenal,Man United,2,H,2,0,H,1,4,2,0,682750000,744250000,27310000,29770000,25.1,25.8,1.66,2.2,2.55,3.6,2.62,C Kavanagh,0,11,2
208,Liverpool,Sheffield United,2,H,1,0,H,8,4,0,0,1190000000,119200000,46660000,4260000,27.9,28.3,1.53,2.5,1.2,6.5,13.0,P Tierney,9,14,2
209,Sheffield United,West Ham,1,H,0,0,D,7,3,1,0,119200000,338750000,4260000,14110000,28.3,28.7,2.0,1.8,1.95,3.4,4.0,M Oliver,14,18,1
210,Crystal Palace,Arsenal,1,D,0,1,A,1,4,2,3,232800000,682750000,9310000,27310000,28.8,25.1,1.8,2.0,4.1,3.9,1.8,P Tierney,6,0,0
211,Chelsea,Burnley,3,H,2,0,H,10,3,0,3,844250000,192750000,32470000,8030000,26.3,29.1,1.66,2.2,1.28,5.5,11.0,K Friend,5,4,2
212,Everton,Brighton,1,H,1,0,H,4,3,2,1,480700000,214750000,19230000,8260000,27.3,27.8,1.8,2.0,1.85,3.8,4.0,D Coote,7,3,2
213,Leicester,Southampton,1,A,1,1,D,2,4,0,3,505250000,227000000,19430000,9870000,26.7,25.9,1.66,2.2,1.6,4.0,5.5,L Mason,8,15,1
214,Man United,Norwich,4,H,1,0,H,4,2,0,0,744250000,152350000,29770000,6350000,25.8,27.6,1.57,2.37,1.33,5.25,8.5,A Taylor,11,13,2
215,Wolves,Newcastle,1,D,1,1,D,5,2,0,3,330800000,293830000,12720000,9180000,25.4,27.3,2.0,1.8,1.44,4.5,7.5,P Bankes,19,12,1
216,Tottenham,Liverpool,0,A,0,1,A,4,3,0,2,977000000,1190000000,36190000,46660000,26.4,27.9,1.61,2.3,4.5,4.33,1.66,M Atkinson,16,9,0
217,Bournemouth,Watford,0,A,0,1,A,5,5,1,1,343750000,234000000,11460000,7550000,26.0,27.6,1.9,1.9,2.6,3.3,2.7,M Dean,2,17,0
218,Aston Villa,Man City,1,A,0,4,A,2,4,2,1,261900000,1300000000,9700000,52190000,27.0,27.4,1.28,3.75,13.0,8.5,1.16,J Moss,1,10,0
219,Watford,Tottenham,0,D,0,0,D,3,3,2,3,234000000,977000000,7550000,36190000,27.6,26.4,1.8,2.0,3.25,3.5,2.2,M Oliver,17,16,1
220,Arsenal,Sheffield United,1,D,1,0,H,4,5,1,2,682750000,119200000,27310000,4260000,25.1,28.3,2.0,1.8,1.83,3.6,4.33,M Dean,0,14,2
221,Brighton,Aston Villa,1,D,1,0,H,3,4,3,3,214750000,261900000,8260000,9700000,27.8,27.0,1.66,2.2,1.66,4.0,5.0,A Madley,3,1,2
222,Man City,Crystal Palace,2,D,0,1,A,14,2,1,2,1300000000,232800000,52190000,9310000,27.4,28.8,1.3,3.5,1.1,11.0,19.0,S Scott,10,6,0
223,Norwich,Bournemouth,1,H,1,0,H,4,5,2,2,152350000,343750000,6350000,11460000,27.6,26.0,1.8,2.0,2.2,3.5,3.25,P Tierney,13,2,2
224,Southampton,Wolves,2,A,2,0,H,1,3,2,1,227000000,330800000,9870000,12720000,25.9,25.4,2.0,1.8,2.4,3.4,3.0,D England,15,19,2
225,West Ham,Everton,1,D,1,1,D,7,6,1,0,338750000,480700000,14110000,19230000,28.7,27.3,1.8,2.0,2.9,3.5,2.37,A Marriner,18,7,1
226,Newcastle,Chelsea,1,H,0,0,D,1,10,1,1,293830000,844250000,9180000,32470000,27.3,26.3,1.72,2.1,6.0,4.5,1.5,C Kavanagh,12,5,1
227,Burnley,Leicester,2,H,0,1,A,4,5,1,0,192750000,505250000,8030000,19430000,29.1,26.7,1.9,1.9,4.33,3.75,1.83,A Taylor,4,8,0
228,Liverpool,Man United,2,H,1,0,H,11,5,1,3,1190000000,744250000,46660000,29770000,27.9,25.8,1.66,2.2,1.36,5.25,8.0,C Pawson,9,11,2
229,Aston Villa,Watford,2,H,0,1,A,6,3,2,2,261900000,234000000,9700000,7550000,27.0,27.6,1.9,1.9,2.8,3.5,2.45,M Atkinson,1,17,0
230,Bournemouth,Brighton,3,H,2,0,H,5,8,1,1,343750000,214750000,11460000,8260000,26.0,27.8,2.0,1.8,2.87,3.4,2.45,K Friend,2,3,2
231,Crystal Palace,Southampton,0,A,0,1,A,0,8,1,2,232800000,227000000,9310000,9870000,28.8,25.9,2.2,1.66,2.7,3.25,2.7,A Marriner,6,15,0
232,Everton,Newcastle,2,D,1,0,H,6,4,1,1,480700000,293830000,19230000,9180000,27.3,27.3,1.9,1.9,1.55,4.1,6.0,S Hooper,7,12,2
233,Sheffield United,Man City,0,A,0,0,D,5,13,4,3,119200000,1300000000,4260000,52190000,28.3,27.4,1.61,2.3,7.0,5.0,1.4,L Mason,14,10,1
234,Chelsea,Arsenal,2,D,1,0,H,17,5,2,1,844250000,682750000,32470000,27310000,26.3,25.1,1.72,2.1,1.72,3.9,4.5,S Attwell,5,0,2
235,Leicester,West Ham,4,H,2,0,H,7,8,1,1,505250000,338750000,19430000,14110000,26.7,28.7,1.57,2.37,1.53,4.33,6.0,D Coote,8,18,2
236,Tottenham,Norwich,2,H,1,0,H,7,3,0,1,977000000,152350000,36190000,6350000,26.4,27.6,1.53,2.5,1.4,5.0,7.5,C Kavanagh,16,13,2
237,Man United,Burnley,0,A,0,1,A,5,2,0,2,744250000,192750000,29770000,8030000,25.8,29.1,1.8,2.0,1.36,4.75,9.0,J Moss,11,4,0
238,Wolves,Liverpool,1,A,0,1,A,2,4,0,1,330800000,1190000000,12720000,46660000,25.4,27.9,1.8,2.0,5.75,3.8,1.61,M Oliver,19,9,0
239,West Ham,Liverpool,0,A,0,1,A,3,7,2,0,338750000,1190000000,14110000,46660000,28.7,27.9,1.57,2.37,8.5,5.5,1.33,J Moss,18,9,0
240,Leicester,Chelsea,2,D,0,0,D,4,6,2,2,505250000,844250000,19430000,32470000,26.7,26.3,1.72,2.1,2.5,3.6,2.7,L Mason,8,5,1
241,Bournemouth,Aston Villa,2,H,2,0,H,1,8,1,3,343750000,261900000,11460000,9700000,26.0,27.0,1.8,2.0,2.1,3.6,3.3,A Taylor,2,1,2
242,Crystal Palace,Sheffield United,0,A,0,0,D,9,5,3,2,232800000,119200000,9310000,4260000,28.8,28.3,2.62,1.5,3.1,3.1,2.5,A Madley,6,14,1
243,Liverpool,Southampton,4,H,0,0,D,6,11,0,2,1190000000,227000000,46660000,9870000,27.9,25.9,1.53,2.5,1.25,6.0,12.0,K Friend,9,15,1
244,Newcastle,Norwich,0,D,0,0,D,8,12,2,1,293830000,152350000,9180000,6350000,27.3,27.6,2.0,1.8,2.2,3.4,3.3,M Atkinson,12,13,1
245,Watford,Everton,2,A,2,2,D,4,4,2,2,234000000,480700000,7550000,19230000,27.6,27.3,2.0,1.8,2.75,3.3,2.62,C Pawson,17,7,1
246,West Ham,Brighton,3,D,2,0,H,4,6,1,1,338750000,214750000,14110000,8260000,28.7,27.8,1.9,1.9,2.6,3.3,2.75,M Oliver,18,3,2
247,Man United,Wolves,0,D,0,0,D,4,6,3,2,744250000,330800000,29770000,12720000,25.8,25.4,2.2,1.66,2.25,3.25,3.4,P Tierney,11,19,1
248,Burnley,Arsenal,0,D,0,0,D,5,7,1,3,192750000,682750000,8030000,27310000,29.1,25.1,1.9,1.9,3.6,3.6,2.0,C Kavanagh,4,0,1
249,Tottenham,Man City,2,H,0,0,D,2,6,2,3,977000000,1300000000,36190000,52190000,26.4,27.4,1.5,2.62,5.5,4.6,1.53,M Dean,16,10,1
250,Everton,Crystal Palace,3,H,1,0,H,4,6,0,1,480700000,232800000,19230000,9310000,27.3,28.8,2.1,1.72,1.61,3.8,6.0,D Coote,7,6,2
251,Brighton,Watford,1,D,0,1,A,3,2,2,2,214750000,234000000,8260000,7550000,27.8,27.6,2.0,1.8,2.1,3.4,3.6,K Friend,3,17,0
252,Sheffield United,Bournemouth,2,H,1,1,D,8,4,2,2,119200000,343750000,4260000,11460000,28.3,26.0,2.3,1.61,1.66,3.6,5.75,J Moss,14,2,1
253,Wolves,Leicester,0,D,0,0,D,7,0,2,2,330800000,505250000,12720000,19430000,25.4,26.7,2.0,1.8,2.5,3.3,2.87,M Dean,19,8,1
254,Southampton,Burnley,1,A,1,1,D,4,3,2,2,227000000,192750000,9870000,8030000,25.9,29.1,1.9,1.9,1.75,3.8,4.75,S Hooper,15,4,1
255,Norwich,Liverpool,0,A,0,0,D,2,7,1,2,152350000,1190000000,6350000,46660000,27.6,27.9,1.53,2.5,11.0,6.25,1.25,S Attwell,13,9,1
256,Aston Villa,Tottenham,2,A,1,2,A,12,7,2,0,261900000,977000000,9700000,36190000,27.0,26.4,1.72,2.1,4.0,3.8,1.85,M Atkinson,1,16,0
257,Arsenal,Newcastle,4,H,0,0,D,5,6,2,0,682750000,293830000,27310000,9180000,25.1,27.3,1.72,2.1,1.4,4.75,8.0,L Mason,0,12,1
258,Chelsea,Man United,0,A,0,1,A,9,8,4,3,844250000,744250000,32470000,29770000,26.3,25.8,1.9,1.9,1.85,3.5,4.5,A Taylor,5,11,0
259,Man City,West Ham,2,H,1,0,H,6,1,0,1,1300000000,338750000,52190000,14110000,27.4,28.7,1.22,4.33,1.12,9.5,17.0,K Friend,10,18,2
260,Chelsea,Tottenham,2,H,1,0,H,3,5,1,2,844250000,977000000,32470000,36190000,26.3,26.4,1.8,2.0,1.72,4.0,4.5,M Oliver,5,16,2
261,Burnley,Bournemouth,3,H,0,0,D,7,3,4,3,192750000,343750000,8030000,11460000,29.1,26.0,2.2,1.66,2.1,3.3,3.7,M Dean,4,2,1
262,Crystal Palace,Newcastle,1,H,1,0,H,7,5,2,6,232800000,293830000,9310000,9180000,28.8,27.3,2.5,1.53,1.95,3.4,4.2,P Bankes,6,12,2
263,Sheffield United,Brighton,1,D,1,1,D,12,2,0,2,119200000,214750000,4260000,8260000,28.3,27.8,2.2,1.66,1.95,3.4,4.2,G Scott,14,3,1
264,Southampton,Aston Villa,2,H,1,0,H,9,6,1,4,227000000,261900000,9870000,9700000,25.9,27.0,1.57,2.37,1.61,4.33,5.0,C Pawson,15,1,2
265,Leicester,Man City,0,A,0,0,D,3,7,0,0,505250000,1300000000,19430000,52190000,26.7,27.4,1.53,2.5,4.5,4.2,1.7,P Tierney,8,10,1
266,Man United,Watford,3,H,1,0,H,3,5,0,1,744250000,234000000,29770000,7550000,25.8,27.6,1.9,1.9,1.6,3.9,6.0,M Atkinson,11,17,2
267,Wolves,Norwich,3,H,2,0,H,4,1,2,3,330800000,152350000,12720000,6350000,25.4,27.6,1.9,1.9,1.5,4.2,7.0,C Kavanagh,19,13,2
268,Arsenal,Everton,3,H,2,2,D,6,3,0,4,682750000,480700000,27310000,19230000,25.1,27.3,1.72,2.1,2.0,3.6,3.7,S Attwell,0,7,1
269,Liverpool,West Ham,3,H,1,1,D,16,8,0,3,1190000000,338750000,46660000,14110000,27.9,28.7,1.36,3.2,1.16,8.0,15.0,J Moss,9,18,1
270,Norwich,Leicester,1,H,0,0,D,6,7,1,2,152350000,505250000,6350000,19430000,27.6,26.7,1.72,2.1,4.33,4.1,1.72,C Pawson,13,8,1
271,Brighton,Crystal Palace,0,A,0,0,D,8,7,1,1,214750000,232800000,8260000,9310000,27.8,28.8,2.3,1.61,2.05,3.25,3.9,M Atkinson,3,6,1
272,Bournemouth,Chelsea,2,D,0,1,A,4,14,2,2,343750000,844250000,11460000,32470000,26.0,26.3,1.8,2.0,4.75,3.8,1.72,A Marriner,2,5,0
273,Newcastle,Burnley,0,D,0,0,D,11,7,4,3,293830000,192750000,9180000,8030000,27.3,29.1,2.3,1.61,2.62,3.1,2.9,A Madley,12,4,1
274,West Ham,Southampton,3,H,2,1,H,4,9,1,1,338750000,227000000,14110000,9870000,28.7,25.9,1.72,2.1,2.65,3.6,2.5,A Taylor,18,15,2
275,Watford,Liverpool,3,H,0,0,D,3,5,0,0,234000000,1190000000,7550000,46660000,27.6,27.9,1.66,2.2,8.0,4.75,1.4,M Oliver,17,9,1
276,Everton,Man United,1,D,1,1,D,13,8,3,4,480700000,744250000,19230000,29770000,27.3,25.8,1.9,1.9,2.5,3.25,2.9,C Kavanagh,7,11,1
277,Tottenham,Wolves,2,A,2,1,H,4,5,3,2,977000000,330800000,36190000,12720000,26.4,25.4,2.2,1.66,2.45,3.2,3.0,S Attwell,16,19,2
